0.03,10cmapr,10cmdec,10cmfeb,10cmjan,10cmjul,10cmjun,10cmmar,10cmmay,10cmnov,10cmsep,1cmapr,1cmdec,1cmfeb,1cmjan,1cmjul,1cmjun,1cmmar,1cmmay,1cmnov,1cmsep,2cmapr,2cmdec,2cmfeb,2cmjan,2cmjul,2cmjun,2cmmar,2cmmay,2cmnov,2cmsep,3cmapr,3cmdec,3cmfeb,3cmjan,3cmjul,3cmjun,3cmmar,3cmmay,3cmnov,3cmsep,4cmapr,4cmdec,4cmfeb,4cmjan,4cmjul,4cmjun,4cmmar,4cmmay,4cmnov,4cmsep,5cmapr,5cmdec,5cmfeb,5cmjan,5cmjul,5cmjun,5cmmar,5cmmay,5cmnov,5cmsep,6cmapr,6cmdec,6cmfeb,6cmjan,6cmjul,6cmjun,6cmmar,6cmmay,6cmnov,6cmsep,7cmapr,7cmdec,7cmfeb,7cmjan,7cmjul,7cmjun,7cmmar,7cmmay,7cmnov,7cmsep,8cmapr,8cmdec,8cmfeb,8cmjan,8cmjul,8cmjun,8cmmar,8cmmay,8cmnov,9cmapr,9cmdec,9cmfeb,9cmjan,9cmjul,9cmjun,9cmmar,9cmmay,9cmnov,9cmsep,blank12mar18,std1,std2,std3,std4,std5,OTU,Seqs,Taxonomy
Otu0001,23,0,3,128,3,816,0,1,341,1411,28,226,51,100,787,6777,179,17,1226,347,1,235,218,629,400,1787,30,0,2574,154,1,25,299,258,341,1300,1,1,4465,21,0,143,49,3,12,977,1,2,2020,165,0,49,10,91,561,60,605,42,1677,822,7,0,120,120,145,49,672,0,1724,128,11,130,0,144,1,126,87,0,503,22,0,225,612,298,15,475,26,0,226,2,59,1,474,0,1567,7,133,0,1385,0,1,0,0,4,1,Otu0001,41993,Eukaryota(100);Opisthokonta(100);Metazoa(100);Nematoda(100);Chromadorea(100);Chromadorea_X(100);Chromadorea_X_unclassified(100);Chromadorea_X_unclassified(100);
Otu0002,592,0,81,750,344,0,0,1,261,163,16,325,691,116,814,3811,754,11,2226,473,7,3,97,150,231,556,7,0,1072,197,0,127,61,16,59,731,1,0,407,221,0,278,13,188,0,4,20,0,85,219,0,203,26,47,190,50,6,53,330,2,0,33,102,21,1,10,0,0,0,160,0,360,33,287,0,1,169,0,4,0,0,382,0,479,0,164,0,0,0,2,51,93,118,0,0,7,135,184,1239,0,0,0,0,0,0,Otu0002,21121,Eukaryota(100);Opisthokonta(100);Metazoa(100);Nematoda(100);Chromadorea(100);Chromadorea_unclassified(100);Chromadorea_unclassified(100);Chromadorea_unclassified(100);
Otu0003,0,0,1400,1594,0,0,0,0,0,1281,10,0,0,0,218,0,157,0,596,0,24,2,0,289,78,243,86,0,262,213,0,0,0,106,0,351,29,0,89,750,0,106,0,6,0,38,0,1,0,1281,1,1,61,0,0,30,617,0,0,0,0,98,608,87,0,0,409,0,0,188,1,0,0,0,0,0,7,0,79,387,0,731,0,0,16,0,0,0,0,0,0,771,70,1,2179,0,0,0,408,0,0,0,0,1,0,Otu0003,15961,Eukaryota(100);Opisthokonta(100);Metazoa(100);Arthropoda(100);Crustacea(100);Ostracoda(100);Leptocythere(100);Leptocythere_lacertosa(100);
Otu0004,1369,0,132,112,554,117,0,120,670,469,2,36,91,5,32,68,11,0,109,101,18,11,56,80,13,64,2,0,261,63,1,68,28,15,112,103,0,0,238,101,0,74,36,83,153,69,9,0,440,116,0,143,10,8,331,2,147,5,554,278,11,44,73,13,198,5,362,0,339,82,31,109,121,29,435,70,66,1,192,321,299,366,201,97,205,83,8,0,472,224,8,150,84,853,352,6,96,572,650,0,0,0,8,0,1,Otu0004,14927,Eukaryota(100);Alveolata(100);Dinoflagellata(100);Dinophyceae(100);Peridiniales(79);Peridiniales_unclassified(79);Peridiniales_unclassified(79);Peridiniales_unclassified(79);
Otu0005,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13607,0,0,527,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Otu0005,14149,Eukaryota(100);Opisthokonta(100);Metazoa(100);Annelida(100);Annelida_X(100);Annelida_XX(100);Platynereis(100);Platynereis_dumerilii(100);
Otu0006,682,0,33,160,33,12,0,36,506,408,0,101,210,4,71,275,32,1,135,361,8,34,38,244,9,70,12,0,871,149,0,125,24,53,70,120,1,0,1035,206,0,51,41,72,48,211,22,0,871,201,1,33,8,5,96,7,114,1,924,151,1,17,26,22,72,9,471,0,800,119,1,40,55,22,30,16,9,0,300,203,9,123,98,53,12,34,4,0,293,19,6,63,158,7,85,8,36,194,102,0,0,0,0,0,0,Otu0006,12503,Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Raphid-pennate(100);Raphid-pennate_unclassified(100);Raphid-pennate_unclassified(100);
Otu0007,1275,0,41,104,323,50,0,73,1188,439,2,27,150,0,16,63,4,0,52,45,22,5,52,23,1,45,0,0,144,48,0,75,50,4,50,57,0,0,184,81,0,65,6,59,126,53,0,1,323,95,1,106,4,7,201,1,68,1,232,162,11,41,52,4,196,1,94,0,73,95,59,78,20,13,258,36,23,0,96,387,210,214,48,111,208,54,2,0,298,365,2,30,37,923,402,4,85,503,574,0,0,1,2,0,0,Otu0007,11814,Eukaryota(100);Rhizaria(100);Cercozoa(100);Filosa-Thecofilosea(100);Cryomonadida(100);Protaspa-lineage(100);Protaspa-lineage_X(100);Protaspa-lineage_X_sp.(100);
Otu0008,149,0,0,1,0,0,0,0,101,1230,0,37,8,0,195,185,0,0,0,235,1,30,0,1,19,22,0,1,399,1175,0,0,0,54,27,257,0,0,0,41,0,0,0,0,270,411,8,1,4,234,1,4,0,0,237,23,22,3,164,588,2,0,0,0,495,8,1921,0,453,2,16,106,0,108,0,0,112,0,7,6,60,0,0,69,0,2,0,0,73,0,0,1,102,0,0,0,147,1157,0,0,0,1,0,0,0,Otu0008,10986,Eukaryota(100);Opisthokonta(100);Metazoa(100);Nematoda(100);Enoplea(100);Enoplea_X(100);Viscosia(100);Viscosia_sp.(100);
Otu0009,2027,0,54,149,26,20,0,18,187,475,0,109,216,11,36,135,37,0,137,276,28,46,80,219,29,75,4,0,140,54,0,223,41,54,336,197,2,0,657,303,0,39,43,20,138,364,27,0,293,90,0,25,7,4,212,5,156,12,555,99,0,19,36,8,95,48,448,0,274,27,0,49,54,31,6,13,11,0,210,206,13,69,56,38,19,31,2,0,245,14,2,84,86,4,70,2,37,101,85,0,0,0,0,0,0,Otu0009,10983,Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Raphid-pennate(100);Psammodictyon(100);Psammodictyon_sp.(99);
Otu0010,218,0,172,126,36,190,0,86,716,291,2,26,82,4,66,143,14,1,17,32,4,4,38,110,57,241,0,0,168,61,0,188,15,6,63,122,3,0,148,62,0,60,6,53,130,47,22,1,3,158,0,95,3,10,174,4,141,26,202,77,0,27,125,0,129,44,424,0,83,112,0,31,98,9,113,390,51,0,187,6,1,123,525,32,161,77,18,0,311,0,39,551,32,830,366,16,30,587,217,0,0,0,0,0,0,Otu0010,10469,Eukaryota(100);Alveolata(100);Dinoflagellata(100);Dinophyceae(100);Peridiniales(100);Amphidiniopsidaceae(100);Islandinium(100);Islandinium_minutum(83);
