,BR10,BR2,BR3,BR4,BR5,BR6,BR7,BR9,ER1,ER10,ER11,ER12,ER13,ER14,ER15,ER16,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,JP1,JP2,JP3,JP4,JP5,JP7,JP8,JP9,KB1,KB10,KB2,KB3,KB4,KB5,KB6,KB9,NM3,NM4,NM5,NM6,NM9,PI1,PI2,PI3,PI4,PI5,PI7,PI8,PI9,WR1,WR10,WR2,WR3,WR4,WR5,WR6,WR7,WR8
ASV0001,0,0,16,0,316,0,0,0,3865,3327,99,89,59,57,105,127,3449,984,2322,413,377,9946,8061,4264,0,0,0,0,73,0,0,0,0,0,183,12,2476,16,0,0,0,38,0,0,0,0,0,0,0,90,0,0,0,0,124,0,697,17625,90,0,0,0
ASV0002,762,0,725,122,1157,230,0,0,4733,1353,1083,1449,1009,650,2232,3988,3784,802,2930,1413,1133,1022,740,923,0,0,0,0,5321,0,0,253,0,0,0,0,0,0,0,0,0,0,2257,526,0,0,0,0,62,985,0,0,392,0,655,0,3524,0,0,51,29,0
ASV0003,463,1199,4038,1333,653,950,595,298,573,579,1484,1271,1723,1446,1808,2385,524,317,330,423,318,206,356,453,1108,37,737,737,208,128,214,1096,3466,64,18,0,718,83,2393,388,201,239,97,331,0,0,175,553,685,223,283,6,500,0,334,165,9,512,867,63,88,71
ASV0004,0,0,51,0,5438,12,35,209,526,262,733,1685,966,1045,924,414,684,5487,1315,373,412,970,743,129,0,0,0,0,608,0,28,0,1277,214,758,0,2527,46,18,66,371,731,94,10,0,55,0,58,65,95,0,0,16,1843,303,144,679,4360,1196,117,0,2036
ASV0005,20,1093,1723,148,89,0,32,245,1008,211,383,285,248,311,484,255,984,523,370,544,568,207,278,323,103,8726,328,190,93,315,36,63,0,0,407,56,21,88,0,0,156,295,89,0,0,410,7671,645,204,111,264,14,15,0,0,0,35,162,532,0,0,95
ASV0006,152,3,278,91,31,0,13,77,122,216,57,65,116,70,7,24,138,189,194,224,214,93,143,196,10975,24,24,4982,52,3187,3,1208,0,0,3,21,80,0,0,0,9,0,33,0,0,0,2,0,20,8,6,0,38,133,556,90,1381,370,95,0,2839,0
ASV0007,127,358,267,143,274,210,120,0,218,967,1987,1758,1648,1754,1598,1782,182,232,230,326,206,481,681,912,336,21,0,0,185,39,67,0,44,0,322,0,0,169,23,0,0,0,807,218,0,49,96,255,95,147,387,0,49,224,70,127,0,163,1102,200,141,787
ASV0008,31,0,8,9,8,0,0,120,2322,901,611,287,391,584,666,544,2070,1039,985,1863,1611,630,901,905,378,22,258,303,576,14,0,8,5,76,48,43,158,61,0,0,8,47,558,0,19,169,70,839,795,644,39,15,0,0,89,0,110,146,65,0,0,13
ASV0009,0,0,0,0,131,0,0,0,57,95,28,26,0,27,0,15,31,58,37,40,36,106,111,167,19,0,5103,0,125,0,0,0,68,30,0,15,0,0,0,0,19,0,31,0,0,960,0,11554,0,253,8,5,0,869,8,2,0,56,6,0,0,0
ASV0010,0,554,0,265,333,0,0,249,1276,0,0,0,0,0,0,1271,1320,704,707,1027,657,328,525,578,1218,212,59,268,191,280,0,263,145,190,706,0,382,184,0,100,146,68,50,316,11,82,350,361,571,209,422,0,137,120,324,272,60,554,677,292,173,859
